0.005,89.5
0.01,68.1
0.015,63.5
0.02,62.8
0.025,63.5
0.03,62.8
0.035,63.2
0.04,64.3
0.045,63.1
0.05,62.8
0.055,64.0
0.06,63.2
0.065,62.9
0.07,63.2
0.075,62.7
0.08,63.0
0.085,63.3
0.09,63.5
0.095,63.2
0.1,62.9
0.105,62.8
0.11,62.6
0.115,62.5
0.12,63.7
0.125,62.7
0.13,62.9
0.135,62.7
0.14,63.6
0.145,63.1
0.15,63.3
0.155,62.5
0.16,63.2
0.165,63.1
0.17,63.7
0.175,63.0
0.18,64.8
0.185,62.9
0.19,64.3
0.195,62.9
0.2,63.1
0.205,62.7
0.21,62.9
0.215,63.1
0.22,63.4
0.225,62.9
0.23,62.8
0.235,63.0
0.24,62.9
0.245,62.5
0.25,62.8
